product_name,category,price,sales_date,day_of_week,holiday,number_of_items_sold,total_revenue,sales_time,product_id,buyer_gender
Milk packet,Dairy,80,9/1/2022,Thursday,FALSE,18,1440,7:58,1022,Men
Bread package,Bakery,55,9/1/2022,Thursday,FALSE,8,440,12:00,1011,Men
Butter,Dairy,285,9/1/2022,Thursday,FALSE,15,4275,19:56,1078,Women
Milk packet,Dairy,80,9/1/2022,Thursday,FALSE,12,960,9:21,1022,Men
Bread package,Bakery,55,9/1/2022,Thursday,FALSE,16,880,7:22,1011,Men
Jam jar,Grocery,350,9/1/2022,Thursday,FALSE,17,5950,11:18,1091,Men
Jam jar,Grocery,350,9/1/2022,Thursday,FALSE,11,3850,16:24,1091,Women
Butter,Dairy,285,9/1/2022,Thursday,FALSE,7,1995,11:02,1078,Women
Milk packet,Dairy,80,9/1/2022,Thursday,FALSE,10,800,9:32,1022,Women
Butter,Dairy,285,9/1/2022,Thursday,FALSE,14,3990,17:46,1078,Women
Eggs,Dairy,134,9/1/2022,Thursday,FALSE,11,1474,9:43,1041,Women
Butter,Dairy,285,9/1/2022,Thursday,FALSE,19,5415,17:24,1078,Women
Milk packet,Dairy,80,9/1/2022,Thursday,FALSE,4,320,7:39,1022,Women
Jam jar,Grocery,350,9/1/2022,Thursday,FALSE,19,6650,19:24,1091,Men
Butter,Dairy,285,9/1/2022,Thursday,FALSE,19,5415,7:38,1078,Men
Bread package,Bakery,55,9/1/2022,Thursday,FALSE,13,715,12:28,1011,Women
Milk packet,Dairy,80,9/1/2022,Thursday,FALSE,9,720,8:05,1022,Women
Milk packet,Dairy,80,9/1/2022,Thursday,FALSE,8,640,9:25,1022,Men
Butter,Dairy,285,9/1/2022,Thursday,FALSE,9,2565,19:20,1078,Women
Jam jar,Grocery,350,9/1/2022,Thursday,FALSE,17,5950,16:58,1091,Women
Milk packet,Dairy,80,9/1/2022,Thursday,FALSE,8,640,9:01,1022,Women
Jam jar,Grocery,350,9/1/2022,Thursday,FALSE,17,5950,12:08,1091,Women
Milk packet,Dairy,80,9/1/2022,Thursday,FALSE,13,1040,17:57,1022,Women
Butter,Dairy,285,9/1/2022,Thursday,FALSE,6,1710,16:21,1078,Women
Bread package,Bakery,55,9/1/2022,Thursday,FALSE,6,330,12:02,1011,Men
Jam jar,Grocery,350,9/1/2022,Thursday,FALSE,2,700,11:23,1091,Women
Jam jar,Grocery,350,9/1/2022,Thursday,FALSE,5,1750,8:14,1091,Women
Jam jar,Grocery,350,9/1/2022,Thursday,FALSE,3,1050,12:53,1091,Men
Eggs,Dairy,134,9/1/2022,Thursday,FALSE,1,134,18:58,1041,Men
Eggs,Dairy,134,9/1/2022,Thursday,FALSE,18,2412,19:53,1041,Men
Milk packet,Dairy,80,9/1/2022,Thursday,FALSE,4,320,8:03,1022,Men
Jam jar,Grocery,350,9/1/2022,Thursday,FALSE,17,5950,19:01,1091,Men
Milk packet,Dairy,80,9/1/2022,Thursday,FALSE,19,1520,12:22,1022,Men
Butter,Dairy,285,9/1/2022,Thursday,FALSE,2,570,9:01,1078,Women
Butter,Dairy,285,9/1/2022,Thursday,FALSE,5,1425,12:50,1078,Women
Butter,Dairy,285,9/1/2022,Thursday,FALSE,5,1425,8:11,1078,Men
Milk packet,Dairy,80,9/1/2022,Thursday,FALSE,6,480,7:33,1022,Men
Butter,Dairy,285,9/1/2022,Thursday,FALSE,7,1995,15:06,1078,Women
Butter,Dairy,285,9/1/2022,Thursday,FALSE,6,1710,15:37,1078,Women
Bread package,Bakery,55,9/1/2022,Thursday,FALSE,16,880,19:33,1011,Women
Butter,Dairy,285,9/1/2022,Thursday,FALSE,7,1995,7:48,1078,Men
Jam jar,Grocery,350,9/1/2022,Thursday,FALSE,1,350,13:43,1091,Women
Butter,Dairy,285,9/1/2022,Thursday,FALSE,6,1710,19:59,1078,Men
Eggs,Dairy,134,9/1/2022,Thursday,FALSE,16,2144,10:03,1041,Men
Eggs,Dairy,134,9/1/2022,Thursday,FALSE,13,1742,16:10,1041,Women
Milk packet,Dairy,80,9/1/2022,Thursday,FALSE,21,1680,8:10,1022,Women
Jam jar,Grocery,350,9/2/2022,Friday,FALSE,10,3500,18:31,1091,Women
Bread package,Bakery,55,9/2/2022,Friday,FALSE,2,110,7:33,1011,Women
Bread package,Bakery,55,9/2/2022,Friday,FALSE,17,935,7:34,1011,Men
Eggs,Dairy,134,9/2/2022,Friday,FALSE,14,1876,9:59,1041,Men
Eggs,Dairy,134,9/2/2022,Friday,FALSE,19,2546,9:50,1041,Men
Milk packet,Dairy,80,9/2/2022,Friday,FALSE,9,720,8:18,1022,Men
Butter,Dairy,285,9/2/2022,Friday,FALSE,2,570,15:23,1078,Women
Bread package,Bakery,55,9/2/2022,Friday,FALSE,19,1045,10:51,1011,Women
Jam jar,Grocery,350,9/2/2022,Friday,FALSE,8,2800,16:02,1091,Women
